c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
ébène,2081,Purpurreiher,1,,68929.5,829996,8.62726e+06,
púrpura,2100,Weißwangengans,0,Clouded Leopard,1.35136e+06,763012,9.6127e+06,
noir,2094,Malvasía Cabeciblanca,2,Asiatic Lion,1.28586e+06,805083,8.5404e+06,
schneeweiß,2051,Purpurreiher,1,Lion,3.50157e+06,406416,1.13051e+07,
púrpura,2077,Macreuse à bec jaune,2,Cheetah,1.54412e+06,816298,156129,
violeta,2121,Pica-pau-de-penacho,4,Cheetah,3.55257e+06,494524,1.0817e+07,
blutrot,2115,Malvasía Cabeciblanca,4,Mountain Lion,2.05228e+06,1.26931e+06,3.27504e+06,
Grünspan,2143,Silbón Europeo,4,Lion,3.43874e+06,315884,3.35881e+06,
blutrot,2130,Воробей,1,Asiatic Lion,362352,554778,1.73386e+06,
blutrot,2129,Araqua-pintado,4,Amur Leopard,1.42605e+06,448475,6.04442e+06,
Indigo,2077,Araqua-pintado,2,Leopard,229625,852527,8.53346e+06,
blutrot,2115,Лебедь,2,,279165,146954,8.5017e+06,
rouge,2107,Purpurreiher,1,,1.12176e+06,782849,6.64698e+06,
Grünspan,2037,Weißwangengans,4,Asiatic Lion,786710,196674,7.11499e+06,
altrosa,2128,Weißwangengans,1,Cheetah,43007.1,348954,5.66556e+06,
schneeweiß,2141,Malvasía Cabeciblanca,2,,246702,1.31426e+06,8.59771e+06,
blanc,2132,Воробей,4,Asiatic Lion,1.23758e+06,554301,1.96078e+06,
rouge,2098,Marreca-cabocla,2,Asiatic Cheetah,2.39468e+06,219118,596946,
rouge,2080,Macuco,2,Clouded Leopard,4.24188e+06,269135,4.35394e+06,
café,2036,Pipit de Godlewski,4,,968936,895065,3.20934e+06,
púrpura,2002,Malvasía Cabeciblanca,1,Clouded Leopard,2.17523e+06,303545,4.57764e+06,
濡れ羽色,2044,Weißwangengans,1,Clouded Leopard,4.65657e+06,372341,8.56721e+06,
blutrot,2069,Silbón Europeo,0,Leopard,2.12335e+06,1.18054e+06,9.78417e+06,
красный,2133,Silbón Europeo,2,,2.41466e+06,374940,1.74765e+06,
türkis,2107,Purpurreiher,4,Cheetah,1.68143e+06,873867,1.20825e+06,
jaune,2136,Goéland d'Amérique,4,Lion,3.75159e+06,269331,1.76024e+06,
blanc,2098,Tüpfelsumpfhuhn,2,Asiatic Lion,1.71868e+06,622730,208277,
púrpura,2024,Воробей,1,Snow Leopard,3.60239e+06,659371,3.50981e+06,
Orange-red,2089,Purpurreiher,4,Jaguar,2.56746e+06,1.06952e+06,5.04041e+06,
jaune,2116,Weißwangengans,1,,577700,445175,6.90123e+06,
красный,2012,Löffelente,4,,435977,278748,4.97772e+06,
dorado,2139,Pipit de Godlewski,2,Lion,2.25764e+06,265210,3.96846e+06,
türkis,2098,Голубь,2,Jaguar,2.43713e+06,932137,4.4084e+06,
zitronengelb,2101,Macreuse à bec jaune,4,Cougar,3.24816e+06,523643,9.63973e+06,
blutrot,2140,Macreuse à bec jaune,4,,654510,1.4157e+06,9.67458e+06,
schneeweiß,2124,Tüpfelsumpfhuhn,2,Mountain Lion,1.42399e+06,426733,5.16002e+06,
schneeweiß,2126,Weißwangengans,0,,1.36738e+06,829382,2.84179e+06,
暗紅色/暗赤色,2118,Голубь,1,Asiatic Cheetah,2.35482e+06,1.00419e+06,44686.7,
noir,2100,Löffelente,2,Cougar,973688,287422,1.0879e+07,
Grünspan,2129,Araqua-pintado,1,Lion,3.25071e+06,809670,4.04575e+06,
jaune,2129,Tüpfelsumpfhuhn,4,Lion,3.33233e+06,626488,228038,
pechschwarz,2135,Weißwangengans,4,Mountain Lion,2.65049e+06,1.0666e+06,1.34324e+07,
altrosa,2141,Silbón Europeo,1,Mountain Lion,4.0255e+06,423336,800176,
Red-violet,2130,Голубь,1,,1.53234e+06,985422,853273,
blanc,2144,Marreca-cabocla,4,Cougar,1.13884e+06,460346,597050,
rouge,2121,Silbón Europeo,1,Leopard,2.32238e+06,909777,4.54343e+06,
blutrot,2035,Голубь,4,Lion,2.21241e+06,746786,5.37567e+06,
blutrot,2146,Weißwangengans,4,Leopard,672519,417376,1.28494e+07,
濡れ羽色,2098,Macreuse à bec jaune,4,Asiatic Lion,2.82799e+06,167431,1.51652e+06,
violeta,2105,Голубь,3,Lion,1.73773e+06,62395.2,895812,
marrón,2097,Macreuse à bec jaune,4,Amur Leopard,2.30452e+06,357734,1.40932e+06,
白湯,2075,Pipit de Godlewski,1,Clouded Leopard,953871,264090,8.65908e+06,
fumée,2123,Marreca-cabocla,2,Asiatic Cheetah,653071,840202,3.4971e+06,
Red-violet,2103,Porrón Islándico,4,Lion,2.28136e+06,89389.8,3.55944e+06,
