c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
pechschwarz,2061,Goéland d'Amérique,8,,2.58022e+06,"Crown Fritillary, Coronis Fritillary","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
marrón,2115,Löffelente,8,Lion,4.51398e+06,Moss' Elfin,"""Moral indignation is jealousy with a halo."", H. G. Wells"
fumée,2134,Tüpfelsumpfhuhn,8,Lion,1.53627e+06,Behr's Hairstreak,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
kohlrabenschwarz,2063,Purpurreiher,8,Asiatic Lion,1.91974e+06,Sooty Copper,"""There are no facts, only interpretations."", Friedrich Nietzsche"
коричневый,2119,Purpurreiher,8,Asiatic Lion,1.24272e+06,Gulf Fritillary,"'Dune', Frank Herbert"
墨色,2107,Löffelente,1,,251411,"""Verdi"" Sandhill Skipper","""Roget's Thesaurus"", Peter Mark Roget"
violeta,2132,Puffin des Baléares,2,,297980,Acmon Blue,"'Watership Down', Richard Adams"
violeta,2141,Löffelente,8,Clouded Leopard,2.4075e+06,Acmon Blue,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
Grünspan,2137,Pica-pau-de-penacho,8,,164129,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
blutrot,2040,Purpurreiher,4,Mountain Lion,4.48491e+06,Edith's Checkerspot,"""There are no facts, only interpretations."", Friedrich Nietzsche"
rouge,2110,Pipit de Godlewski,8,,2.12766e+06,"Faun, Green Comma","""Where's Wally?"", Martin Handford"
fumée,2063,Лебедь,8,Leopard,305734,"Faun, Green Comma","'A Tale of Two Cities', Charles Dickens"
коричневый,2049,Macuco,8,Leopard,235684,Ringle,"'The Godfather', Mario Puzo"
blanc,2149,Pipit de Godlewski,8,Leopard,227921,Moss' Elfin,"""Roget's Thesaurus"", Peter Mark Roget"
Red-violet,2136,Macreuse à bec jaune,8,Clouded Leopard,567982,Ringle,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
暗紅色/暗赤色,2120,Pipit de Godlewski,8,Mountain Lion,2.87542e+06,Gulf Fritillary,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
墨色,2144,Weißwangengans,8,,2.53035e+06,Dainty Sulphur,"'Don Quixote', Miguel de Cervantes"
fumée,2019,Malvasía Cabeciblanca,8,Lion,495495,"Orange Sulphur, Alfalfa Butterfly","""Charlotte's Web"", E.B. White"
Orange-red,2083,Löffelente,8,Cheetah,1.62287e+06,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
красный,2089,Araqua-pintado,8,,705985,"Crown Fritillary, Coronis Fritillary","""There are no facts, only interpretations."", Friedrich Nietzsche"
красный,2132,Araqua-pintado,8,Jaguar,1.72107e+06,"Orange Sulphur, Alfalfa Butterfly","'1984', George Orwell"
Red-violet,2057,Araqua-pintado,8,Leopard,834442,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
türkis,2107,Weißwangengans,8,Jaguar,1.52759e+06,Behr's Hairstreak,"'The Exorcist', William Peter Blatty"
Grünspan,2073,Macreuse à bec jaune,8,,783150,"Faun, Green Comma","""Charlotte's Web"", E.B. White"
café,2075,Голубь,8,Asiatic Lion,1.04181e+06,Edith's Copper,"'20,000 Leagues under the Sea', Jules Verne"
暗紅色/暗赤色,2055,Silbón Europeo,5,Amur Leopard,477011,Ox-Eyed Satyr,"'Watership Down', Richard Adams"
Cerise,2080,Purpurreiher,8,Snow Leopard,2.77567e+06,"Faun, Green Comma","""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2082,Weißwangengans,8,Jaguar,2.35245e+06,"""Verdi"" Sandhill Skipper","'Watership Down', Richard Adams"
красный,2138,Tüpfelsumpfhuhn,1,Mountain Lion,1.52188e+06,Ox-Eyed Satyr,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
schneeweiß,2059,Pipit de Godlewski,8,Asiatic Lion,600736,Ox-Eyed Satyr,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
schneeweiß,2148,Löffelente,8,Lion,2.34514e+06,Gulf Fritillary,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
púrpura,2113,Pica-pau-de-penacho,8,Lion,1.59045e+06,Pine White,"'The Godfather', Mario Puzo"
красный,2148,Голубь,8,Cheetah,663452,Reakirt's Blue,"'A Tale of Two Cities', Charles Dickens"
schneeweiß,2069,Pipit de Godlewski,2,Cougar,987444,Reakirt's Blue,"'A Tale of Two Cities', Charles Dickens"
blutrot,2105,Purpurreiher,8,Leopard,4.09372e+06,Moss' Elfin,"""Charlotte's Web"", E.B. White"
коричневый,2079,Purpurreiher,8,Asiatic Lion,3.01194e+06,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2087,Malvasía Cabeciblanca,5,Asiatic Lion,930106,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
blanc,2059,Лебедь,4,,1.92369e+06,Ringle,"'The Exorcist', William Peter Blatty"
Grünspan,2136,Macreuse à bec jaune,8,,786396,"Crown Fritillary, Coronis Fritillary","'The Mark of Zorro', Johnston McCulley"
blutrot,2105,Silbón Europeo,8,Leopard,283531,"Blue Copper, ""Varied Blue""","'Don Quixote', Miguel de Cervantes"
fumée,2109,Porrón Islándico,8,Leopard,1.2787e+06,Sooty Copper,"'The Exorcist', William Peter Blatty"
jaune,2143,Weißwangengans,8,Asiatic Cheetah,1.27923e+06,Mazarine Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
dorado,2125,Löffelente,8,Leopard,245445,"Faun, Green Comma","""Where's Wally?"", Martin Handford"
rouge,2129,Macreuse à bec jaune,8,Lion,3.15338e+06,Edith's Checkerspot,"'Jaws', Peter Benchley"
白湯,2094,Purpurreiher,8,,4.56571e+06,"Blue Copper, ""Varied Blue""","'The Mark of Zorro', Johnston McCulley"
rouge,2132,Pipit de Godlewski,8,,553137,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
kohlrabenschwarz,2127,Araqua-pintado,8,,306329,Gray-Veined White,"""Moral indignation is jealousy with a halo."", H. G. Wells"
türkis,2100,Silbón Europeo,8,,921127,Edith's Copper,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
rouge,2071,Purpurreiher,8,,798572,"Orange Sulphur, Alfalfa Butterfly","'The Exorcist', William Peter Blatty"
