seventeen	5	4	20
black	5	8	13
--18--	12	10	33
--18--	9	1	3
20-20-20	5	15	7
seventeen	3	15	9
red	6	8	9
AbCdEfGhkJkLmN	7	6	31
AbCdJkLm	2	1	18
yellow	3	14	31
weiß	6	7	4
AbCdEfGhkJkLmN	9	9	35
AbCdEfGhkJkLmN	10	16	4
--18--	12	14	14
z	5	4	21
10-10-10	2	6	10
AbCdEfGhkJkLmN	2	8	6
AbCdEfGhkJkLmN	1	1	32
999	1	4	34
ABC_DEF	1	20	33
weiß	1	7	27
red	9	21	3
weiß	8	4	1
20-20-20	4	5	29
yellow	5	22	4
weiß	2	2	14
999	8	7	4
red	6	1	28
ABC_DEF	2	21	24
|xyz|	2	7	13
z	2	6	19
10-10-10	3	7	13
AbCdEfGhkJkLmN	9	8	37
日本語	8	2	19
999	3	2	2
AbCdJkLm	6	2	35
--18--	1	24	23
15_15	1	4	3
|xyz|	6	11	18
weiß	11	15	9
--18--	1	2	25
weiß	7	8	18
weiß	9	1	6
aa aa	12	2	39
--18--	4	12	14
999	4	1	31
z	9	18	4
10-10-10	2	1	12
bcde	5	4	6
10-10-10	2	9	18
20-20-20	7	3	6
AbCdEfGhkJkLmN	8	23	3
20-20-20	1	2	7
15_15	2	18	26
z	6	22	2
grün	5	2	16
yellow	2	2	4
yellow	7	5	6
yellow	1	8	35
weiß	2	17	10
weiß	4	3	7
AbCdJkLm	1	10	4
z	10	2	15
z	2	8	4
yellow	3	14	12
weiß	12	6	14
--18--	5	3	8
yellow	10	9	20
|xyz|	2	2	14
aa aa	4	8	13
AbCdJkLm	3	9	24
AbCdEfGhkJkLmN	5	4	41
--18--	1	1	39
red	1	9	21
weiß	4	7	18
ABC_DEF	3	20	9
seventeen	8	4	30
AbCdEfGhkJkLmN	9	11	15
weiß	7	9	12
AbCdJkLm	1	5	24
--18--	2	22	24
AbCdJkLm	1	12	16
weiß	1	18	7
z	12	1	4
black	5	15	8
10-10-10	3	11	24
red	6	12	11
日本語	6	4	17
--18--	2	11	15
väri vihreä	4	9	36
AbCdEfGhkJkLmN	6	13	28
--18--	2	1	13
日本語	12	6	17
black	12	12	6
AbCdEfGhkJkLmN	1	9	24
