z	573	9	117
z	649	5	282
weiß	647	93	110
10-10-10	552	124	57
日本語	601	64	107
日本語	621	142	335
999	549	71	51
aa aa	572	39	142
weiß	634	20	196
日本語	516	10	142
seventeen	547	47	347
black	647	88	395
20-20-20	635	53	163
AbCdEfGhkJkLmN	552	28	208
--18--	638	92	95
weiß	565	41	49
aa aa	624	82	108
bcde	525	89	489
grün	579	39	93
10-10-10	617	5	186
black	588	20	200
black	623	54	200
999	619	102	283
yellow	578	71	92
black	614	45	146
black	543	13	135
999	645	34	341
z	623	23	49
10-10-10	644	58	246
AbCdJkLm	567	88	356
10-10-10	516	71	186
red	615	84	409
red	590	111	498
--18--	599	101	252
seventeen	536	21	157
AbCdEfGhkJkLmN	645	30	248
grün	590	51	429
aa aa	534	54	183
|xyz|	632	113	80
AbCdJkLm	631	48	81
10-10-10	606	41	184
AbCdEfGhkJkLmN	618	27	287
grün	542	22	201
väri vihreä	547	36	392
bcde	569	92	98
AbCdEfGhkJkLmN	565	46	161
999	607	36	191
bcde	647	24	132
z	618	7	93
seventeen	597	34	197
--18--	534	77	134
aa aa	609	57	382
AbCdJkLm	580	1	434
15_15	622	74	446
z	568	68	197
bcde	630	16	346
red	582	91	269
10-10-10	640	60	128
weiß	574	55	101
--18--	585	25	275
AbCdEfGhkJkLmN	574	57	367
black	563	88	419
bcde	529	106	129
AbCdEfGhkJkLmN	581	97	424
--18--	511	50	22
z	648	107	117
--18--	549	94	199
black	600	13	103
seventeen	600	80	328
bcde	646	26	136
AbCdJkLm	545	12	137
red	621	15	122
ABC_DEF	539	46	429
aa aa	623	38	293
AbCdJkLm	530	70	194
--18--	573	11	204
--18--	607	18	124
grün	622	114	223
black	582	2	220
grün	556	4	232
weiß	645	59	35
20-20-20	568	68	122
black	612	94	299
10-10-10	596	3	521
grün	604	61	182
日本語	593	37	147
日本語	612	22	46
--18--	564	3	104
red	532	49	194
999	534	34	467
seventeen	647	62	479
AbCdEfGhkJkLmN	637	49	304
väri vihreä	609	12	517
grün	592	76	459
yellow	635	77	205
AbCdEfGhkJkLmN	646	73	282
black	600	96	360
black	578	54	199
20-20-20	616	23	21
weiß	624	29	200
999	615	34	98
999	641	31	337
|xyz|	643	10	119
z	639	10	440
--18--	593	50	170
AbCdEfGhkJkLmN	565	21	232
weiß	644	129	138
bcde	542	29	424
yellow	589	39	27
日本語	615	27	111
15_15	620	112	166
black	617	87	423
z	592	47	119
999	608	40	312
z	604	93	111
日本語	594	53	249
yellow	626	30	457
weiß	617	9	124
20-20-20	618	11	529
AbCdEfGhkJkLmN	631	70	304
--18--	645	94	138
ABC_DEF	616	38	463
weiß	612	90	461
weiß	619	73	302
20-20-20	582	39	311
aa aa	567	76	85
black	632	99	38
weiß	541	77	46
10-10-10	640	25	210
red	578	61	429
20-20-20	629	11	234
weiß	517	14	103
AbCdEfGhkJkLmN	562	72	130
--18--	607	47	296
weiß	647	30	147
black	647	114	191
ABC_DEF	599	42	217
--18--	630	49	315
--18--	603	48	280
black	646	20	57
yellow	631	139	476
black	570	94	91
weiß	623	40	65
aa aa	573	43	157
black	648	76	227
väri vihreä	643	58	135
z	635	16	114
|xyz|	646	53	140
grün	629	60	358
|xyz|	640	17	120
--18--	634	70	358
AbCdEfGhkJkLmN	627	33	258
15_15	631	43	195
AbCdJkLm	597	93	111
black	626	64	174
10-10-10	615	91	318
yellow	646	60	323
yellow	629	87	149
ABC_DEF	537	115	274
AbCdEfGhkJkLmN	592	60	99
15_15	540	71	97
999	570	27	156
grün	633	32	235
yellow	642	57	329
aa aa	549	25	325
grün	565	95	140
--18--	562	89	233
grün	633	125	293
10-10-10	585	12	266
aa aa	649	62	107
--18--	646	30	131
--18--	614	88	355
AbCdEfGhkJkLmN	580	130	77
grün	623	33	521
AbCdEfGhkJkLmN	648	128	267
weiß	533	54	209
yellow	602	25	223
weiß	543	49	118
日本語	619	41	147
z	555	22	188
AbCdJkLm	609	87	425
yellow	573	41	118
yellow	560	16	427
999	635	42	109
grün	607	53	146
AbCdEfGhkJkLmN	572	12	114
|xyz|	614	17	21
red	646	33	272
red	632	4	281
seventeen	563	93	288
AbCdEfGhkJkLmN	608	6	134
AbCdJkLm	592	44	76
AbCdEfGhkJkLmN	633	8	122
AbCdEfGhkJkLmN	562	58	181
yellow	614	43	268
weiß	536	149	63
grün	647	43	159
20-20-20	627	2	124
yellow	637	106	337
red	621	80	130
yellow	563	80	198
red	541	23	328
bcde	623	29	130
weiß	640	71	43
grün	638	132	150
AbCdJkLm	601	76	387
AbCdEfGhkJkLmN	627	109	109
999	596	4	177
väri vihreä	589	26	111
ABC_DEF	583	26	237
AbCdEfGhkJkLmN	561	36	136
z	614	20	167
999	535	110	229
bcde	560	55	422
10-10-10	611	130	280
red	523	47	125
grün	593	19	334
weiß	559	142	107
日本語	625	3	422
20-20-20	586	29	296
AbCdJkLm	571	50	72
z	565	80	73
